@relation iris-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Center_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A4-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric

@data
-0.03416,-0.051711,-0.030329,0.125321
-0.00853,-0.033168,-0.0892,0.061362
-0.107859,0.11329,0.019845,0.070567
-0.014782,0.034139,0.042777,0.031861
-0.093614,0.094847,0.027791,0.041178
0.017019,0.032575,-0.085663,-0.12461
-0.035563,0.107527,-0.028727,-0.007601
-0.057024,-0.091175,0.053631,-0.088709
0.000683,-0.018281,0.088148,0.023462
0.030335,-0.059467,-0.072961,-0.137776
-0.113685,0.073184,-0.00162,0.00213
0.084465,-0.06512,-0.00386,-0.099358
-0.003918,-0.002636,-0.131453,-0.184443
0.048747,0.007841,0.014637,-0.01615
-0.118724,0.100496,-0.125609,-0.102207
-0.065891,-0.033648,0.050683,-0.048469
0.069703,0.018859,-0.035096,-0.023083
-0.053453,0.113981,-0.008911,0.052508
0.02293,-0.107798,0.082663,-0.066952
-0.119411,-0.044984,0.000294,-0.076391
-0.011153,0.160048,-0.125023,-0.092551
-0.047021,-0.0022,-0.052855,-0.097178
0.079933,-0.066464,0.103046,-0.022657
-0.009129,0.079567,-0.050083,-0.013766
-0.068077,0.064843,-0.026502,-0.080162
-0.140367,-0.056003,0.050027,-0.069457
-0.063535,0.078876,-0.021327,0.004293
-0.049197,0.108981,-0.017959,0.032284
-0.11404,0.120709,-0.022667,0.001923
-0.024098,0.090643,0.02336,0.014513
0.002853,-0.002852,0.025295,-0.038537
-0.034321,0.049357,-0.086824,-0.053376
-0.029293,0.009357,-0.074916,-0.110195
-0.052753,0.006242,-0.078899,-0.108235
-0.0186,0.027473,-0.043786,-0.051485
-0.042268,-0.048544,0.05691,-0.09752
0.032663,-0.151777,0.101992,-0.086407
0.042838,-0.068124,0.10983,0.019188
-0.056937,0.083982,0.021095,0.036135
-0.075803,0.142262,-0.110929,-0.075615
0.002953,-0.080914,0.048675,-0.048619
0.018239,-0.001403,-0.048237,-0.103619
-0.071972,-0.104291,0.031551,-0.127195
-0.051808,-0.03408,0.056384,-0.030767
-0.032683,0.027905,-0.049488,-0.069187
0.024858,-0.020489,-0.101338,-0.138544
-0.012351,-0.046505,0.005548,-0.087313
-0.052319,-0.095153,0.061051,-0.051345
-0.015997,-0.058493,0.033309,-0.056594
-0.053802,0.034897,-0.001999,-0.015162
0.098562,0.036866,-0.12164,-0.080959
-0.003135,-0.024947,0.001585,-0.059883
0.157942,-0.056476,0.17604,-0.023002
0.078264,-0.033508,0.049151,-0.101236
-0.017082,0.108275,0.065693,0.009553
-0.049142,-0.059995,0.112344,-0.072884
0.062523,0.012568,0.101637,-0.03636
-0.135721,0.102324,0.108454,0.007747
0.12781,-0.137437,0.03869,-0.177031
-0.192114,0.044,0.106785,-0.026052
-0.097995,0.062804,0.02486,-0.090369
0.102501,0.073905,0.158214,0.088828
0.084183,0.055145,0.066039,0.024582
0.02212,0.065314,0.017191,-0.057283
0.051406,0.108535,0.042639,0.009195
0.132315,0.014708,-0.000651,-0.119502
0.263539,0.047861,0.02272,-0.064508
0.172904,0.059057,0.07464,0.016182
-0.044793,-0.016448,0.098717,-0.035727
-0.112243,-0.008482,0.252476,0.09948
-0.10958,0.181941,0.044916,-0.035635
-0.068781,0.033285,-0.040637,-0.148038
0.094682,0.102776,0.078366,0.035994
0.152485,-0.04169,0.05214,-0.090536
-0.192213,0.122062,0.083405,-0.01597
0.043942,0.089881,-0.016163,-0.043431
0.03116,0.002465,0.134464,0.016542
-0.144999,0.020716,0.133553,0.017326
0.062892,0.067459,-0.000798,-0.035457
0.055507,-0.005064,0.059303,-0.0314
0.05618,0.037998,0.056881,-0.057913
-0.193142,0.048464,0.088161,0.000254
-0.133713,0.135764,0.043356,-0.007161
-0.155426,0.045824,0.212171,0.130061
0.093113,0.057669,0.047852,-0.052667
-0.09319,-0.019237,0.055659,-0.063088
-0.188972,-0.131694,0.111649,-0.144813
0.00064,0.246441,0.015675,0.063999
0.175508,-0.026909,0.151735,0.011073
-0.039316,-0.055426,0.127094,-0.034959
0.073846,-0.010497,0.055956,-0.033921
0.060622,0.130092,0.038676,0.036625
0.15421,0.112015,0.056941,0.018496
0.174905,0.219106,-0.018417,0.068737
0.078264,-0.033508,0.049151,-0.101236
0.072604,0.047673,0.114053,0.011854
0.178892,0.081152,0.098349,0.037528
0.170556,0.175559,-0.00479,0.031579
0.066182,0.126973,-0.049606,-0.066383
0.06949,0.072566,0.041625,-0.003615
0.170386,-0.035456,0.144405,0.010511
0.038296,-0.082157,0.104655,-0.065268
